segment,a_x,a_y,a_z,b_x,b_y,b_z,t_min,t_max
201,-0.315436,-0.535456,13.2892,0.978628,0.00797091,1.21831,-0.203902,1.03792
202,2.24415,-0.31188,13.7007,-1.64502,-0.23722,0.0355137,-0.057156,1.33605
203,-0.0594202,-0.576061,13.7473,2.059,0.794365,0.0332944,-0.0476724,0.999998
204,1.59646,-0.0498689,11.6455,-0.900325,-0.432997,0.0439055,-0.585841,1.27466
205,2.36442,0.0932096,9.55085,-2.10039,-0.664705,-0.0224878,-0.0248343,1.00001
206,-2.38779,-0.188888,11.6477,1.70121,-0.331278,-0.00681019,-0.0975429,1.11094
207,-1.21169,-0.163106,11.6705,0.877,0.480477,0.00373133,-0.74459,0.652532
208,-0.593826,-0.248354,12.0618,-0.00368718,0.621768,0.783193,-0.388069,0.447321
209,-1.69585,0.0301151,11.6676,-0.883279,0.46871,0.0113768,-0.587563,0.55651
210,-1.15976,-0.0711142,9.58347,0.914503,-0.403526,-0.0291814,-0.596119,1.22607
211,1.04629,-1.2028,3.71335,-0.999751,0.0218277,0.00458137,-0.267573,0.314162
212,1.52087,-1.43757,1.92306,-0.889521,0.011144,0.027754,-0.0816827,1.15865
213,1.47356,-1.3447,2.59429,-0.803479,-0.0689262,-0.556913,-0.00215042,1.00001
214,1.66946,-1.47844,0.172717,-0.540612,0.55119,0.864136,-0.0494257,0.999999
215,1.65755,-1.24072,1.4674,0.135351,0.428671,-0.893264,-0.358381,0.425767
216,1.36204,-1.5011,1.40834,0.427417,0.111108,0.897201,-0.382106,0.4061
217,-1.49367,-1.20862,1.37465,0.116323,-0.417142,0.901367,-0.454063,0.483156
218,-1.71253,1.97546,-0.0235786,0.378197,-0.386784,2.70518,-0.0984725,1
219,-1.67095,1.74576,0.145958,0.162028,-0.853584,1.27958,-0.268466,1.61136
220,-1.67174,2.02349,-0.103225,0.72497,-0.166241,1.14082,-0.0157264,1
221,-1.45089,1.43419,1.85836,-0.0216332,-0.798405,-0.0170323,-0.220488,1.23781
222,-1.41397,1.05331,2.141,0.0971896,0.80867,0.580178,-0.420614,0.613579
223,-1.38512,-0.415799,2.59235,0.128187,0.55284,0.823369,-0.526568,0.612769
224,-1.28688,1.46137,0.686792,0.536724,-0.108673,0.83673,-0.492725,0.732431
225,-1.47872,1.29709,1.78224,-0.0705775,-0.250625,-0.542223,-0.425588,1.28879
226,-1.4568,1.45879,2.04834,0.397813,0.120523,-0.830872,2.52277e-06,1.07541
227,-1.48576,-1.16951,1.08329,-0.175521,-0.837751,-1.3237,-0.0414462,1
228,2.04326,1.80084,-0.114836,-0.208351,-0.187224,1.43708,-0.092865,0.99998
229,1.93129,1.22701,0.736361,0.101901,0.576597,-0.917941,-0.00367859,1.06177
